Trend,Season,Episode,Title,Year,Total votes,Average rating,"Runtime, min"
802,1,1,Chapter One: The Vanishing of Will Byers,2016,"54,882",8.6,47
687,1,2,Chapter Two: The Weirdo on Maple Street,2016,"46,348",8.3,55
691,1,3,"Chapter Three: Holly, Jolly",2016,"45,712",8.8,51
676,1,4,Chapter Four: The Body,2016,"45,114",8.9,49
650,1,5,Chapter Five: The Flea and the Acrobat,2016,"43,026",8.6,52
651,1,6,Chapter Six: The Monster,2016,"42,893",8.8,46
673,1,7,Chapter Seven: The Bathtub,2016,"44,843",9.0,41
756,1,8,Chapter Eight: The Upside Down,2016,"51,633",9.3,54
633,2,1,Chapter One: MADMAX,2017,"41,192",8.1,48
624,2,2,"Chapter Two: Trick or Treat, Freak",2017,"39,405",8.2,56
599,2,3,Chapter Three: The Pollywog,2017,"38,49",8.5,51
610,2,4,Chapter Four: Will the Wise,2017,"38,438",8.5,46
599,2,5,Chapter Five: Dig Dug,2017,"38,703",8.8,58
669,2,6,Chapter Six: The Spy,2017,"41,918",9.1,51
763,2,7,Chapter Seven: The Lost Sister,2017,"57,543",6.0,45
683,2,8,Chapter Eight: The Mind Flayer,2017,"44,54",9.2,47
687,2,9,Chapter Nine: The Gate,2017,"47,569",9.3,62
618,3,1,"Chapter One: Suzie, Do You Copy?",2019,"43,088",7.8,50
605,3,2,Chapter Two: The Mall Rats,2019,"40,559",7.9,50
574,3,3,Chapter Three: The Case of the Missing Lifeguard,2019,"38,942",8.2,49
614,3,4,Chapter Four: The Sauna Test,2019,"41,329",8.9,52
553,3,5,Chapter Five: The Flayed,2019,"38,273",8.5,51
559,3,6,Chapter Six: E Pluribus Unum,2019,"38,476",8.5,59
579,3,7,Chapter Seven: The Bite,2019,"39,477",8.7,55
756,3,8,Chapter Eight: The Battle of Starcourt,2019,"54,299",9.3,77
632,4,1,Chapter One: The Hellfire Club,2022,"45,187",8.1,75
598,4,2,Chapter Two: Vecna's Curse,2022,"41,09",8.1,75
598,4,3,Chapter Three: The Monster and the Superhero,2022,"40,046",8.3,62
928,4,4,Chapter Four: Dear Billy,2022,"68,574",9.5,77
599,4,5,Chapter Five: The Nina Project,2022,"39,327",8.1,74
600,4,6,Chapter Six: The Dive,2022,"39,954",8.5,73
1088,4,7,Chapter Seven: The Massacre at Hawkins Lab,2022,"77,526",9.6,98
650,4,8,Chapter Eight: Papa,2022,"43,245",8.7,84
829,4,9,Chapter Nine: The Piggyback,2022,"60,138",9.2,139
1768,5,1,Chapter One: The Crawl,2025,"77,75",7.9,71
1748,5,2,Chapter Two: The Vanishing of Holly Wheeler,2025,"75,065",8.3,57
1735,5,3,Chapter Three: The Turnbow Trap,2025,"75,326",8.5,69
2561,5,4,Chapter Four: Sorcerer,2025,"116,631",9.4,86
2226,5,5,Chapter Five: Shock Jock,2025,"82,046",7.9,68
2394,5,6,Chapter Six: Escape from Camazotz,2025,"86,838",8.0,75
4376,5,7,Chapter Seven: The Bridge,2025,"182,353",5.7,66
7300,5,8,Chapter Eight: The Rightside Up,2025,"164,385",7.6,128
